iter	Passed	Remaining
520	3225	2965
521	3233	2961
522	3243	2957
523	3250	2953
524	3258	2948
525	3266	2943
526	3274	2938
527	3276	2928
528	3279	2919
529	3286	2914
530	3294	2910
531	3303	2905
532	3313	2903
533	3315	2893
534	3323	2888
535	3331	2884
536	3335	2875
537	3342	2870
538	3348	2864
539	3356	2859
540	3358	2849
541	3361	2840
542	3366	2832
543	3374	2828
544	3381	2823
545	3390	2818
546	3394	2810
547	3401	2805
548	3411	2802
549	3421	2799
550	3429	2794
551	3436	2789
552	3438	2779
553	3446	2774
554	3453	2769
555	3455	2759
556	3463	2754
557	3473	2751
558	3481	2746
559	3491	2742
560	3492	2733
561	3500	2728
562	3504	2719
563	3511	2714
564	3519	2709
565	3527	2705
566	3536	2700
567	3540	2692
568	3548	2687
569	3551	2679
570	3553	2670
571	3561	2664
572	3564	2656
573	3572	2651
574	3575	2642
575	3582	2637
576	3585	2628
577	3587	2619
578	3595	2614
579	3604	2609
580	3612	2604
581	3614	2596
582	3621	2590
583	3629	2585
584	3634	2578
585	3643	2573
586	3651	2569
587	3659	2564
588	3666	2558
589	3673	2552
590	3680	2547
591	3684	2539
592	3691	2533
593	3694	2525
594	3702	2520
595	3710	2515
596	3717	2509
597	3725	2504
598	3732	2498
599	3740	2493
600	3744	2485
601	3752	2480
602	3753	2471
603	3762	2466
604	3770	2461
605	3778	2456
606	3786	2451
607	3788	2442
608	3796	2437
609	3800	2429
610	3808	2424
611	3817	2420
612	3818	2410
613	3820	2401
614	3821	2392
615	3828	2386
616	3836	2381
617	3844	2376
618	3846	2367
619	3853	2361
620	3861	2356
621	3863	2347
622	3870	2342
623	3873	2333
624	3881	2328
625	3889	2323
626	3893	2316
627	3897	2308
628	3899	2300
629	3908	2295
630	3911	2287
631	3919	2282
632	3927	2276
633	3929	2268
634	3937	2263
635	3943	2257
636	3950	2251
637	3952	2242
638	3953	2233
639	3956	2225
640	3963	2220
641	3966	2211
642	3968	2203
643	3976	2198
644	3980	2190
645	3987	2185
646	3995	2179
647	4004	2175
648	4006	2166
649	4009	2158
650	4010	2149
651	4013	2141
652	4021	2136
653	4029	2131
654	4037	2126
655	4045	2121
656	4052	2115
657	4054	2107
658	4055	2098
659	4062	2092
660	4064	2084
661	4073	2079
662	4081	2074
663	4087	2068
664	4095	2063
665	4099	2055
666	4101	2047
667	4107	2041
668	4116	2036
669	4125	2031
670	4126	2023
671	4127	2014
672	4132	2007
673	4139	2002
674	4146	1996
675	4153	1990
676	4161	1985
677	4168	1979
678	4176	1974
679	4183	1968
680	4187	1961
681	4194	1955
682	4201	1949
683	4207	1943
684	4214	1938
685	4223	1933
686	4226	1925
687	4229	1917
688	4232	1910
689	4241	1905
690	4247	1899
691	4250	1891
692	4251	1883
693	4260	1878
694	4267	1872
695	4270	1865
696	4278	1859
697	4284	1853
698	4292	1848
699	4301	1843
700	4304	1835
701	4311	1830
702	4318	1824
703	4324	1818
704	4327	1810
705	4333	1804
706	4340	1799
707	4348	1793
708	4356	1787
709	4358	1780
710	4361	1772
711	4368	1767
712	4377	1762
713	4385	1756
714	4392	1751
715	4395	1743
716	4403	1738
717	4409	1731
718	4412	1724
719	4419	1718
720	4426	1713
721	4434	1707
722	4438	1700
723	4444	1694
724	4453	1689
725	4460	1683
726	4468	1678
727	4470	1670
728	4477	1664
729	4479	1656
730	4483	1650
731	4491	1644
732	4499	1638
733	4507	1633
734	4509	1625
735	4517	1620
736	4525	1614
737	4531	1608
738	4538	1602
739	4545	1597
740	4548	1589
741	4551	1582
742	4559	1577
743	4567	1571
744	4575	1565
745	4583	1560
746	4591	1554
747	4599	1549
748	4606	1543
749	4614	1538
750	4622	1532
751	4626	1525
752	4628	1518
753	4631	1511
754	4638	1505
755	4647	1500
756	4650	1492
757	4658	1487
758	4666	1481
759	4669	1474
760	4677	1468
761	4679	1461
762	4687	1455
763	4690	1448
764	4698	1443
765	4706	1437
766	4715	1432
767	4723	1426
768	4731	1421
769	4738	1415
770	4745	1409
771	4753	1403
772	4756	1396
773	4764	1391
774	4771	1385
775	4779	1379
776	4786	1373
777	4793	1367
778	4801	1362
779	4808	1356
780	4812	1349
781	4819	1343
782	4822	1336
783	4830	1330
784	4839	1325
785	4843	1318
786	4850	1312
787	4858	1307
788	4860	1299
789	4868	1294
790	4875	1288
791	4883	1282
792	4890	1276
793	4898	1270
794	4905	1265
795	4914	1259
796	4923	1253
797	4931	1248
798	4939	1242
799	4946	1236
800	4954	1230
801	4963	1225
802	4972	1219
803	4974	1212
804	4982	1207
805	4990	1201
806	4998	1195
807	5007	1189
808	5014	1183
809	5022	1178
810	5024	1170
811	5031	1164
812	5040	1159
813	5049	1153
814	5057	1148
815	5064	1141
816	5072	1136
817	5079	1130
818	5087	1124
819	5089	1117
820	5092	1110
821	5100	1104
822	5109	1098
823	5116	1092
824	5126	1087
825	5129	1080
826	5137	1074
827	5145	1068
828	5154	1063
829	5162	1057
830	5170	1051
831	5178	1045
832	5186	1039
833	5192	1033
834	5197	1027
835	5206	1021
836	5214	1015
837	5222	1009
838	5231	1003
839	5237	997
840	5241	990
841	5249	985
842	5258	979
843	5265	973
844	5274	967
845	5282	961
846	5290	955
847	5298	949
848	5305	943
849	5313	937
850	5320	931
851	5323	924
852	5330	918
853	5339	912
854	5347	906
855	5356	901
856	5363	894
857	5371	889
858	5379	882
859	5387	877
860	5394	870
861	5397	864
862	5400	857
863	5408	851
864	5415	845
865	5423	839
866	5430	833
867	5437	826
868	5445	820
869	5453	814
870	5461	808
871	5469	802
872	5472	796
873	5480	790
874	5487	783
875	5495	777
876	5502	771
877	5510	765
878	5516	759
879	5524	753
880	5532	747
881	5540	741
882	5546	734
883	5555	729
884	5562	722
885	5570	716
886	5574	710
887	5577	703
888	5584	697
889	5592	691
890	5600	685
891	5607	678
892	5615	672
893	5622	666
894	5630	660
895	5637	654
896	5644	648
897	5651	641
898	5659	635
899	5666	629
900	5675	623
901	5683	617
902	5691	611
903	5698	605
904	5707	599
905	5715	592
906	5723	586
907	5731	580
908	5739	574
909	5748	568
910	5756	562
911	5764	556
912	5771	550
913	5780	543
914	5789	537
915	5797	531
916	5806	525
917	5814	519
918	5822	513
919	5830	507
920	5838	500
921	5845	494
922	5852	488
923	5859	481
924	5867	475
925	5874	469
926	5882	463
927	5890	457
928	5898	450
929	5907	444
930	5916	438
931	5925	432
932	5932	426
933	5941	419
934	5948	413
935	5956	407
936	5964	401
937	5972	394
938	5979	388
939	5988	382
940	5996	375
941	6004	369
942	6011	363
943	6019	357
944	6026	350
945	6036	344
946	6043	338
947	6051	331
948	6059	325
949	6067	319
950	6074	312
951	6082	306
952	6091	300
953	6098	294
954	6105	287
955	6113	281
956	6121	275
957	6128	268
958	6135	262
959	6145	256
960	6154	249
961	6162	243
962	6170	237
963	6179	230
964	6186	224
965	6193	218
966	6201	211
967	6208	205
968	6215	198
969	6224	192
970	6232	186
971	6240	179
972	6247	173
973	6254	166
974	6261	160
975	6270	154
976	6278	147
977	6286	141
978	6295	135
979	6303	128
980	6312	122
981	6319	115
982	6328	109
983	6337	103
984	6344	96
985	6351	90
986	6360	83
987	6367	77
988	6375	70
989	6383	64
990	6391	58
991	6398	51
992	6407	45
993	6415	38
994	6422	32
995	6429	25
996	6437	19
997	6445	12
998	6452	6
999	6460	0
